id,iaafId,firstName,lastName,countryCode,countryName,birthDate
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12
14388506,274951,Tigst,ASSEFA,ETH,Ethiopia,1996-12-03
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30
14632541,296471,Munkhzaya,BAYARTSOGT,MGL,Mongolia,1993-10-10
14695376,298495,Helen,BEKELE,SUI,Switzerland,1994-11-21
14665027,314493,Bojana,BJELJAC,CRO,Croatia,1989-04-10
14370115,249178,Florencia,BORELLI,ARG,Argentina,1992-10-30
14262327,243765,Rosa Alva,CHACHA,ECU,Ecuador,1982-12-08
14693567,297589,Mercyline,CHELANGAT,UGA,Uganda,1997-12-17
14436833,259606,Rose,CHELIMO,BRN,Bahrain,1989-07-12
14413309,254535,Rebecca,CHEPTEGEI,UGA,Uganda,1991-02-22
14464203,262636,Stella,CHESANG,UGA,Uganda,1996-12-01
14423913,256205,Eunice Chebichii,CHUMBA,BRN,Bahrain,1993-05-23
14756134,417282,Citlali,CRISTIAN MOSCOTE,MEX,Mexico,1995-04-15
14490253,295161,Sinead,DIVER,AUS,Australia,1977-02-17
14268042,132770,Malindi,ELMORE,CAN,Canada,1980-03-13
14284281,306178,Giovanna,EPIS,ITA,Italy,1988-10-11
14383158,246399,Shitaye,ESHETE,BRN,Bahrain,1990-05-21
14455103,390171,Clara,EVANS,GBR,Great Britain & N.I.,1993-11-27
14590420,297580,Kaoutar,FARKOUSSI,MAR,Morocco,1996-03-19
14292910,235226,Camille,FRENCH,NZL,New Zealand,1990-07-11
14608367,317285,Khishigsaikhan,GALBADRAKH,MGL,Mongolia,1990-08-28
14442050,379164,Fatima Ezzahra,GARDADI,MAR,Morocco,1992-03-20
14477333,297697,Tigist,GASHAW,BRN,Bahrain,1996-12-25
14477379,265233,Gotytom,GEBRESLASE,ETH,Ethiopia,1995-01-15
14501787,390056,Mary Zenaida,GRANJA,ECU,Ecuador,1995-04-23
14271807,263528,Genevieve,GREGSON,AUS,Australia,1989-08-04
14750322,510048,Rose,HARVEY,GBR,Great Britain & N.I.,1992-08-25
14489606,273291,Sifan,HASSAN,NED,Netherlands,1993-01-01
14276523,275637,Calli,HAUGER-THACKERY,GBR,Great Britain & N.I.,1993-01-09
14763815,425243,Chloé,HERBIET,BEL,Belgium,1998-12-03
14385600,295674,Margarita,HERNANDEZ FLORES,MEX,Mexico,1985-12-03
14672593,305993,Ai,HOSODA,JPN,Japan,1995-11-27
